date,gmv,cogs,promo,fwd_shipping,refund,reverse_cost,net_profit,margin
2012-07-04,4523077.12,3520204.9776182747,0.0,556.45,171067.01,23.52,831225.1623817254,0.18377426259354282
2012-07-05,2359033.2800000003,1839384.5014393965,0.0,268.26,57342.91,75.83132703411381,461961.7772335696,0.1958267317168029
2012-07-06,2175146.5100000002,1795392.7186893527,0.0,224.76999999999998,195614.58000000002,13.55,183900.89131064748,0.08454643881006776
2012-07-07,1901346.25,1522310.5879344894,0.0,238.31,134785.14,13.77,243998.44206551064,0.1283293045995755
2012-07-08,1782827.51,1348103.4759804967,0.0,328.19,135871.83000000002,149.41,298374.6040195033,0.16736033202645795
2012-07-09,2685688.8,2034951.2293118418,0.0,514.28,165093.16,17.53,485112.60068815795,0.18062874622262937
2012-07-10,4232810.6,3283122.8958658664,0.0,350.41,112143.06999999999,97.51014845339314,837096.7139856798,0.19776380119291892
2012-07-11,4751818.63,3705316.6309431037,0.0,822.24,173779.72999999998,35.21,871864.8190568963,0.18348023923987525
2012-07-12,4908925.71,3815377.943714965,0.0,905.69,94601.97,40.42,997999.6862850349,0.20330307387867047
2012-07-13,4288199.75,3353614.7351016086,0.0,666.02,56152.87,81.67,877684.4548983914,0.20467434029825485
2012-07-14,3127791.02,2530922.5428000535,0.0,678.72,176194.13,188.74063306320772,419806.88656688336,0.13421832976772322
2012-07-15,3048278.64,2474783.535951091,0.0,718.74,119360.99,43.010000000000005,453372.36404890916,0.14873061737194376
2012-07-16,2881722.84,2220875.6364597967,0.0,477.04,90688.33,22.43,569659.4035402031,0.19768015009389422
2012-07-17,3603428.45,2768369.7749057743,0.0,570.0600000000001,105280.43,74.3,729133.8850942259,0.2023444880927845
2012-07-18,4237834.33,3308826.9949438013,0.0,1366.36,133729.29,96.70398861154474,793814.9810675872,0.18731619012288928
2012-07-19,5055222.46,3954671.2711515264,0.0,1435.77,267358.36,136.29658797851835,831620.7622604951,0.16450725340789357
2012-07-20,4263422.94,3505094.76750017,0.0,942.37,67518.92,48.687312943502214,689818.1951868868,0.16179914704565687
2012-07-21,2653971.58,2099167.6400748515,0.0,859.33,116404.58,46.424337956858906,437493.60558719176,0.16484487207176188
2012-07-22,2509878.2,2047655.0896159012,0.0,732.98,123881.15000000001,18.128532662877767,337590.8518514361,0.13450487432076824
2012-07-23,4104618.11,3189935.1510006716,0.0,945.34,95505.84999999999,98.27,818133.4989993284,0.19932024784623104
2012-07-24,3011748.17,2370931.591918558,0.0,655.8,238999.17,47.537699286852984,401114.0703821551,0.1331831374142265
2012-07-25,4070079.23,3167807.4368256386,0.0,815.3,174791.23,306.42051973458035,726358.8426546267,0.17846307199642075
2012-07-26,4621708.61,3599024.1747891996,0.0,1546.1,177107.94,44.65,843985.7452108007,0.1826133615141091
2012-07-27,4203493.4799999995,3288848.6764600836,0.0,857.25,212718.18,82.37553984424304,700986.9980000717,0.1667629559401795
2012-07-28,3334329.26,2619216.718404907,0.0,697.51,98043.23,64.95,616306.851595093,0.18483683030004452
2012-07-29,3950419.96,3161027.4840135225,0.0,783.86,95437.56999999999,24.384558673505037,693146.661427804,0.17546151255974415
2012-07-30,5416286.65,4300217.8464080915,0.0,931.24,224975.18000000002,173.31365591923367,889989.0699359896,0.16431720243905287
2012-07-31,7280973.22,5636699.986471757,0.0,1764.76,290832.35,219.02861806885946,1351457.0949101737,0.1856148970851693
2012-08-01,6877264.01,5450871.88840039,0.0,1686.49,360668.14,47.09409434980557,1063990.3975052603,0.15471129157731148
2012-08-02,8155288.38,6317743.439609728,0.0,1695.49,187252.75,423.96253538223885,1648172.7378548898,0.2020986458181985
2012-08-03,7513768.89,5803134.322987396,0.0,1463.81,338873.93,34.93205276234005,1370261.8949598412,0.18236678756296446
2012-08-04,5071248.88,4030992.184027471,0.0,903.75,212978.89,48.62627634072225,826325.4296961881,0.16294318209367553
2012-08-05,1999633.45,1552795.8808359033,0.0,154.25,41273.35,12.15,405397.8191640966,0.2027360660345508
2012-08-06,2911352.45,2372557.4541696506,0.0,338.98,178776.64,80.31,359599.06583034963,0.12351615683987338
2012-08-07,1612403.5,1262019.3099002452,0.0,510.67,26308.91,6.143275231809126,323558.46682452306,0.20066842252855632
2012-08-08,2006387.8599999999,1538376.1251765944,0.0,511.11,67313.12,157.57,400029.9348234055,0.19937816750117573
2012-08-09,3856717.23,3129282.973842872,0.0,764.87,81491.02,63.52,645114.8461571281,0.1672704550748534
2012-08-10,2551890.04,1989799.0913150564,0.0,592.39,120282.76999999999,69.79807165437302,441145.9906132892,0.17287029758276307
2012-08-11,2034790.49,1622902.6515619378,0.0,484.06,246815.05,160.0745411363254,164428.6538969259,0.08080864084288399
2012-08-12,2635375.12,2063962.5649236848,0.0,430.62,170526.83000000002,86.39,400368.7150763153,0.15192095881830867
2012-08-13,3186121.07,2575971.4760110117,0.0,713.22,120610.56,58.78163744816086,488767.03235153994,0.15340504067899088
2012-08-14,3238883.34,2629088.904483813,0.0,562.22,76958.1,17.23,532256.8855161871,0.16433345373785124
2012-08-15,3208564.54,2460040.075162275,0.0,658.61,139839.81,112.79,607913.2548377248,0.18946580231100005
2012-08-16,4064688.59,3240948.3728827257,0.0,816.21,221091.11,119.0,601713.8971172742,0.14803443948882544
2012-08-17,3556130.09,2811310.060651227,0.0,735.16,46016.42,165.0109123782533,697903.4384363947,0.19625362986549086
2012-08-18,2780196.12,2317684.255987746,0.0,439.85,109783.97,21.497659521321,352266.5463527327,0.12670564634581702
2012-08-19,3295231.32,2556305.102816455,0.0,674.02,138601.15,118.64,599532.4071835447,0.18193939938138995
2012-08-20,2962488.11,2366821.1480938205,0.0,687.36,105338.97,102.33,489538.30190617935,0.16524565963783036
2012-08-21,3251439.61,2640334.195092981,0.0,677.82,148383.71,105.53286523359345,461938.35204178514,0.14207194579935167
2012-08-22,3596061.16,2781711.368953029,0.0,847.41,97581.98,49.129999999999995,715871.271046971,0.19907093878430338
2012-08-23,4355310.25,3355206.280853486,0.0,1216.55,253553.81,78.59579812883497,745255.0133483849,0.17111410452295214
2012-08-24,3735876.97,2910863.9517312907,0.0,974.45,56455.19,63.29,767520.0882687096,0.2054457613117569
2012-08-25,2927691.25,2280747.0376106636,0.0,515.1899999999999,49185.61,90.22,597153.1923893365,0.20396727024727643
2012-08-26,3533925.5,2882163.4084661147,0.0,761.15,121724.15999999999,36.55236320307965,529240.2291706823,0.14975987161321944
2012-08-27,2391524.64,1841714.1185003466,0.0,588.23,118169.99,57.29634865810654,430995.0051509955,0.18021767283610152
2012-08-28,7619699.13,5950807.051914415,0.0,1945.66,199721.7,193.15356391272624,1467031.564521672,0.1925314293245161
2012-08-29,7396306.12,5891470.975296265,0.0,1495.03,263651.67,186.49373454774874,1239501.950969187,0.16758391700655936
2012-08-30,8041348.89,6322702.88136068,0.0,1751.73,223061.95,82.97421560894057,1493749.3544237108,0.18575855554300055
2012-08-31,6902636.05,5442785.67494376,0.0,1892.62,191427.76,210.16007389560042,1266319.834982344,0.18345452748915309
2012-09-01,6669522.3,5213547.897328494,0.0,1374.02,203342.23,101.64420531205772,1251156.5084661937,0.18759312169421694
2012-09-02,1956294.32,1477107.0082906776,0.0,410.6,71629.18,8.97,407138.56170932256,0.2081172334586764
2012-09-03,3104166.5,2460938.148261778,0.0,637.86,152597.6,93.010257287216,489899.88148093474,0.15782010452111211
2012-09-04,3098787.58,2422085.3426176477,0.0,596.15,63688.15,38.42,612379.5173823523,0.19761906925622577
2012-09-05,1655803.79,1377209.451292807,0.0,367.0,47705.37,38.28446919086559,230483.68423800217,0.13919746145647013
2012-09-06,2103174.09,1566968.9837955208,0.0,433.84,244317.25,51.936939144939394,291402.0792653341,0.1385534752690559
2012-09-07,2513942.09,2018736.4636309182,0.0,580.58,95753.65000000001,23.56,398847.83636908163,0.15865434528330033
2012-09-08,2957697.61,2309897.5823686933,0.0,676.5,143314.59,5.74,503803.1976313066,0.17033627640903648
2012-09-09,3632436.26,2901594.3480611253,0.0,726.93,129342.41,42.33,600730.2419388745,0.16537943103201885
2012-09-10,3647062.2800000003,2824120.8684591237,0.0,871.21,146695.49,114.98,675259.7315408767,0.1851516863980937
2012-09-11,3150967.01,2561155.9355256474,0.0,511.82,224649.09,12.59,364637.57447435247,0.11572243483258572
2012-09-12,2930956.87,2356618.28668784,0.0,503.67,27145.93,32.099999999999994,546656.8833121603,0.18651140482737988
2012-09-13,2129865.65,1717503.4607500448,0.0,432.35,129551.0,54.72,282324.11924995517,0.13255489577474297
2012-09-14,2762328.42,2140871.678807756,0.0,439.82,218466.18,19.419999999999998,402531.32119224407,0.14572174629121185
2012-09-15,2902239.76,2321131.7748348042,0.0,479.65,103189.47,10.41,477428.45516519557,0.16450345066087704
2012-09-16,3384447.78,2755656.0790361674,0.0,823.48,176736.6,122.95586156849623,451108.66510226397,0.13328870599453124
2012-09-17,4003059.25,3247804.858859955,0.0,721.43,51413.88,116.72777685948485,703002.3533631855,0.17561627481861167
2012-09-18,4047688.55,3308875.414864101,0.0,824.97,237936.88999999998,85.75,499965.52513589885,0.12351877348268282
2012-09-19,2790160.54,2256174.8268757467,0.0,599.3100000000001,214771.08000000002,76.76684457255882,318538.5562796807,0.11416495635755808
2012-09-20,3024284.41,2473560.7702961387,0.0,806.72,60525.13,29.970000000000002,489361.8197038615,0.16181078012562367
2012-09-21,3106618.44,2391106.1593611403,0.0,591.05,149905.54,80.63,564935.0606388595,0.18184887251195855
2012-09-22,2973365.92,2342439.569261455,0.0,946.35,33344.3,11.150464853047621,596624.5502736919,0.20065628191288742
2012-09-23,3386583.64,2754283.7395215384,0.0,667.47,175875.31,88.89,455668.2304784618,0.13455100446846244
2012-09-24,4119405.79,3319556.977878884,0.0,927.46,303136.39,189.10572597404106,495595.8563951421,0.12030760785893396
2012-09-25,4615644.03,3682409.953900832,0.0,1289.95,168283.71000000002,79.73368704968462,763580.6824121184,0.165433182769105
2012-09-26,3719019.5,2935091.1343198675,0.0,873.69,208346.62,96.05000000000001,574612.0056801325,0.15450631696879583
2012-09-27,5904280.23,4703373.628727848,0.0,1797.24,284518.62,177.11344965402537,914413.6278224987,0.15487300605691248
2012-09-28,3925536.59,3101844.093585881,0.0,950.21,156658.95,52.47,666030.866414119,0.1696661975106234
2012-09-29,4137854.85,3231982.684769473,0.0,985.08,228402.2,69.58711671689925,676415.2981138101,0.16347004006527927
2012-09-30,3754358.59,3048201.3498837627,0.0,861.84,161814.41,110.64,543370.3501162372,0.14473054107392475
2012-10-01,3962047.15,3095289.276207597,0.0,814.26,185588.45,6.925229748855902,680348.2385626541,0.17171634077162715
2012-10-02,2672928.71,2105522.7928532176,0.0,287.87,116440.2,121.73,450556.1171467824,0.16856271379822263
2012-10-03,2469109.95,1954297.2169623286,0.0,397.58,82565.11,13.61056471093006,431836.4324729606,0.17489558635206204
2012-10-04,1729136.59,1361535.410905996,0.0,330.89,47373.67,9.73,319886.889094004,0.1849980452348209
2012-10-05,1964689.33,1523741.3427226907,0.0,385.28,114766.59,19.97,325776.14727730944,0.16581560366966996
2012-10-06,1627336.79,1276994.8251422443,0.0,172.28,50241.12,31.63,299896.93485775567,0.1842869507410053
2012-10-07,2808077.58,2219336.621868093,0.0,509.84,80615.91,12.90274256314844,507602.3053893439,0.1807650575627415
2012-10-08,3508752.17,2814074.776784799,0.0,579.79,30477.87,33.67,663586.0632152008,0.189123093072487
2012-10-09,3470310.9,2804253.238693453,0.0,812.45,114005.74,71.64,551167.831306547,0.15882376167119408
