date,gmv,cogs,promo,fwd_shipping,refund,reverse_cost,net_profit,margin
2013-03-21,6073778.28,5402504.676243936,549310.99,1478.46,228251.46,228.65663381179618,-107995.96287774724,-0.01778068903722762
2013-03-22,5348414.72,4868544.727873973,641809.73,1676.07,231253.25,106.80580835115478,-394975.863682324,-0.07384914677714521
2013-03-23,4535744.72,4101689.70895815,544289.4,903.4,232812.26,98.60000000000001,-344048.6489581502,-0.0758527364737031
2013-03-24,4358878.17,3937555.287808342,523065.4,1331.92,60930.18,61.41,-164066.027808342,-0.037639507554381134
2013-03-25,4055919.51,3550251.4510584455,486710.3,898.05,108437.49,175.85,-90553.63105844572,-0.022326288979646378
2013-03-26,4774363.66,4363068.942512619,572923.68,1171.29,152072.82,116.5429582203639,-314989.61547083955,-0.06597520379728249
2013-03-27,5180150.09,4612891.2540098205,621618.0,1559.4,370208.33,289.54505607170137,-426416.4390658924,-0.08231739074299534
2013-03-28,6687912.71,5989909.297965332,802549.57,1879.33,312227.29,75.59868824437073,-418728.37665357627,-0.0626097251579673
2013-03-29,6808637.49,6192379.0767804505,817036.43,1872.27,355941.58999999997,188.307641913826,-558780.1844223642,-0.08206931052549901
2013-03-30,9420077.62,8622988.281294394,1130409.33,2246.37,491896.98,398.4825452359704,-827861.8238396312,-0.08788269664381293
2013-03-31,7989946.12,7184119.880972536,958793.46,2051.42,151798.78,226.05278100169627,-307043.47375353787,-0.03842872894786653
2013-04-01,7802618.09,6883814.59785851,936314.13,2660.95,386298.61,172.8026872224369,-406643.00054573256,-0.052116225074106196
2013-04-02,6266738.31,5607239.489038904,752008.57,1787.01,390351.27,320.40350780829294,-484968.43254671287,-0.07738769493100357
2013-04-03,6685847.9,5995196.707336372,802301.76,2265.87,452518.02,156.21,-566590.6673363714,-0.0847447737087126
2013-04-04,3588363.12,3173902.2735240916,430603.56,709.45,154442.03999999998,105.05,-171399.25352409144,-0.047765303508105234
2013-04-06,2657242.07,2322319.4591521947,318869.05,830.24,264785.79,153.07,-249715.5391521948,-0.09397545747580115
2013-04-07,2093558.69,1852192.545228435,251227.03,876.0600000000001,109021.98,29.55883585383628,-119788.48406428884,-0.05721763838600046
2013-04-08,3606745.09,3375941.244493741,432809.46,883.15,77731.06,120.91861528351927,-280740.74310902477,-0.07783770022655656
2013-04-09,3345209.4899999998,3011783.6816910617,401425.13,885.62,88215.26000000001,58.63,-157158.83169106196,-0.046980266007514516
2013-04-10,4925982.29,4339026.770196934,591117.88,1307.92,152075.11,110.83257914870877,-157656.2227760829,-0.03200503239650967
